,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.414,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,0.748,244960.0,0.524,7BKLCZ1jbUBVqRi2FVlTVw,0.0,8.0,0.111,-5.599,1.0,0.0338,95.01,4.0,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,audio_features,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,0.635
1,0.169,https://api.spotify.com/v1/audio-analysis/2IY7eOUDjw2ArKYxKa2jXc,0.682,230467.0,0.592,2IY7eOUDjw2ArKYxKa2jXc,5.49e-06,7.0,0.136,-7.033,1.0,0.281,186.041,4.0,https://api.spotify.com/v1/tracks/2IY7eOUDjw2ArKYxKa2jXc,audio_features,spotify:track:2IY7eOUDjw2ArKYxKa2jXc,0.477
2,0.0841,https://api.spotify.com/v1/audio-analysis/6i0V12jOa3mr6uu4WYhUBr,0.732,195920.0,0.396,6i0V12jOa3mr6uu4WYhUBr,3.58e-05,4.0,0.105,-9.348,0.0,0.0286,90.024,4.0,https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr,audio_features,spotify:track:6i0V12jOa3mr6uu4WYhUBr,0.547
3,0.0771,https://api.spotify.com/v1/audio-analysis/0lYBSQXN6rCTvUZvg9S0lU,0.652,205947.0,0.713,0lYBSQXN6rCTvUZvg9S0lU,1.02e-05,8.0,0.144,-5.311,1.0,0.0368,100.023,4.0,https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU,audio_features,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,0.147
4,0.236,https://api.spotify.com/v1/audio-analysis/0qy5D3OJre7SPJNMOL9I71,0.886,225205.0,0.525,0qy5D3OJre7SPJNMOL9I71,0.0,8.0,0.057,-7.39,1.0,0.132,145.99,4.0,https://api.spotify.com/v1/tracks/0qy5D3OJre7SPJNMOL9I71,audio_features,spotify:track:0qy5D3OJre7SPJNMOL9I71,0.711
5,0.034,https://api.spotify.com/v1/audio-analysis/2gFvRmQiWg9fN9i74Q0aiw,0.818,225983.0,0.803,2gFvRmQiWg9fN9i74Q0aiw,0.0,1.0,0.153,-4.282,1.0,0.0797,106.97,4.0,https://api.spotify.com/v1/tracks/2gFvRmQiWg9fN9i74Q0aiw,audio_features,spotify:track:2gFvRmQiWg9fN9i74Q0aiw,0.618
6,0.0373,https://api.spotify.com/v1/audio-analysis/1pKeFVVUOPjFsOABub0OaV,0.65,226160.0,0.728,1pKeFVVUOPjFsOABub0OaV,0.0,6.0,0.328,-5.914,0.0,0.232,159.167,4.0,https://api.spotify.com/v1/tracks/1pKeFVVUOPjFsOABub0OaV,audio_features,spotify:track:1pKeFVVUOPjFsOABub0OaV,0.624
7,0.055,https://api.spotify.com/v1/audio-analysis/7zsXy7vlHdItvUSH8EwQss,0.602,185360.0,0.797,7zsXy7vlHdItvUSH8EwQss,0.0,6.0,0.187,-5.084,0.0,0.0534,92.928,4.0,https://api.spotify.com/v1/tracks/7zsXy7vlHdItvUSH8EwQss,audio_features,spotify:track:7zsXy7vlHdItvUSH8EwQss,0.487
8,0.00381,https://api.spotify.com/v1/audio-analysis/1lItf5ZXJc1by9SbPeljFd,0.807,144244.0,0.887,1lItf5ZXJc1by9SbPeljFd,0.0,1.0,0.391,-3.892,1.0,0.275,160.517,4.0,https://api.spotify.com/v1/tracks/1lItf5ZXJc1by9SbPeljFd,audio_features,spotify:track:1lItf5ZXJc1by9SbPeljFd,0.794
9,0.687,https://api.spotify.com/v1/audio-analysis/7vRriwrloYVaoAe3a9wJHe,0.492,251034.0,0.275,7vRriwrloYVaoAe3a9wJHe,0.0,6.0,0.101,-13.4,0.0,0.3,92.6,4.0,https://api.spotify.com/v1/tracks/7vRriwrloYVaoAe3a9wJHe,audio_features,spotify:track:7vRriwrloYVaoAe3a9wJHe,0.18
10,0.128,https://api.spotify.com/v1/audio-analysis/1mSlftOO1dlDRXAyOE0Sbd,0.448,187973.0,0.817,1mSlftOO1dlDRXAyOE0Sbd,0.0,10.0,0.105,-4.069,0.0,0.386,83.015,4.0,https://api.spotify.com/v1/tracks/1mSlftOO1dlDRXAyOE0Sbd,audio_features,spotify:track:1mSlftOO1dlDRXAyOE0Sbd,0.718
11,0.0472,https://api.spotify.com/v1/audio-analysis/7BPw9h8vCIX94N0rjFU12S,0.628,211667.0,0.698,7BPw9h8vCIX94N0rjFU12S,0.00143,6.0,0.0907,-5.608,0.0,0.105,89.976,4.0,https://api.spotify.com/v1/tracks/7BPw9h8vCIX94N0rjFU12S,audio_features,spotify:track:7BPw9h8vCIX94N0rjFU12S,0.73
12,0.356,https://api.spotify.com/v1/audio-analysis/0AKejOKlGdiB53QpwAeenO,0.777,214480.0,0.627,0AKejOKlGdiB53QpwAeenO,0.0,7.0,0.0956,-6.142,1.0,0.0792,100.054,4.0,https://api.spotify.com/v1/tracks/0AKejOKlGdiB53QpwAeenO,audio_features,spotify:track:0AKejOKlGdiB53QpwAeenO,0.432
13,0.379,https://api.spotify.com/v1/audio-analysis/6DG2g1UhROp5pnM8fx7zH2,0.695,181880.0,0.615,6DG2g1UhROp5pnM8fx7zH2,0.0,4.0,0.104,-4.194,1.0,0.104,99.817,4.0,https://api.spotify.com/v1/tracks/6DG2g1UhROp5pnM8fx7zH2,audio_features,spotify:track:6DG2g1UhROp5pnM8fx7zH2,0.509
14,0.615,https://api.spotify.com/v1/audio-analysis/6WhzFzROw3aq3rPWjgYlxr,0.6,225882.0,0.412,6WhzFzROw3aq3rPWjgYlxr,0.0025,8.0,0.134,-9.343,1.0,0.344,113.049,5.0,https://api.spotify.com/v1/tracks/6WhzFzROw3aq3rPWjgYlxr,audio_features,spotify:track:6WhzFzROw3aq3rPWjgYlxr,0.409
15,0.13,https://api.spotify.com/v1/audio-analysis/6fujklziTHa8uoM5OQSfIo,0.794,291893.0,0.646,6fujklziTHa8uoM5OQSfIo,0.0,0.0,0.14,-6.235,1.0,0.0614,145.931,4.0,https://api.spotify.com/v1/tracks/6fujklziTHa8uoM5OQSfIo,audio_features,spotify:track:6fujklziTHa8uoM5OQSfIo,0.331
16,0.157,https://api.spotify.com/v1/audio-analysis/1i1fxkWeaMmKEB4T7zqbzK,0.532,208373.0,0.869,1i1fxkWeaMmKEB4T7zqbzK,0.00508,11.0,0.136,-5.094,1.0,0.172,159.803,4.0,https://api.spotify.com/v1/tracks/1i1fxkWeaMmKEB4T7zqbzK,audio_features,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,0.419
17,0.199,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,0.63,222160.0,0.928,0azC730Exh71aQlOt9Zj3y,0.124,9.0,0.148,-2.787,0.0,0.0331,123.963,4.0,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,audio_features,spotify:track:0azC730Exh71aQlOt9Zj3y,0.46
18,0.0109,https://api.spotify.com/v1/audio-analysis/3XIIOCu6B8PuGq5j61asEM,0.666,210893.0,0.723,3XIIOCu6B8PuGq5j61asEM,0.00047,1.0,0.0507,-6.164,1.0,0.268,192.024,4.0,https://api.spotify.com/v1/tracks/3XIIOCu6B8PuGq5j61asEM,audio_features,spotify:track:3XIIOCu6B8PuGq5j61asEM,0.731
19,0.00835,https://api.spotify.com/v1/audio-analysis/2Z8WuEywRWYTKe1NybPQEW,0.645,214507.0,0.713,2Z8WuEywRWYTKe1NybPQEW,0.0,6.0,0.113,-5.355,1.0,0.0393,74.989,4.0,https://api.spotify.com/v1/tracks/2Z8WuEywRWYTKe1NybPQEW,audio_features,spotify:track:2Z8WuEywRWYTKe1NybPQEW,0.58
20,0.0123,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,0.667,236002.0,0.83,6JV2JOEocMgcZxYSZelKcc,0.0,0.0,0.191,-5.715,1.0,0.0749,113.03,4.0,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,audio_features,spotify:track:6JV2JOEocMgcZxYSZelKcc,0.716
21,0.533,https://api.spotify.com/v1/audio-analysis/0D21XvHcVsIvJM6FcGY2BT,0.64,234526.0,0.819,0D21XvHcVsIvJM6FcGY2BT,0.0,7.0,0.156,-4.108,1.0,0.455,166.012,4.0,https://api.spotify.com/v1/tracks/0D21XvHcVsIvJM6FcGY2BT,audio_features,spotify:track:0D21XvHcVsIvJM6FcGY2BT,0.624
22,0.00849,https://api.spotify.com/v1/audio-analysis/11hqMWwX7sF3sOGdtijofF,0.776,173975.0,0.624,11hqMWwX7sF3sOGdtijofF,0.00208,1.0,0.356,-5.815,1.0,0.0505,103.987,4.0,https://api.spotify.com/v1/tracks/11hqMWwX7sF3sOGdtijofF,audio_features,spotify:track:11hqMWwX7sF3sOGdtijofF,0.349
23,0.182,https://api.spotify.com/v1/audio-analysis/6NMNgWgEAzde5M8U3lc6FN,0.924,207813.0,0.543,6NMNgWgEAzde5M8U3lc6FN,0.0,9.0,0.103,-7.474,0.0,0.298,133.907,4.0,https://api.spotify.com/v1/tracks/6NMNgWgEAzde5M8U3lc6FN,audio_features,spotify:track:6NMNgWgEAzde5M8U3lc6FN,0.726
24,0.278,https://api.spotify.com/v1/audio-analysis/34dVqrAW35mn6dpgfzntOS,0.938,209737.0,0.382,34dVqrAW35mn6dpgfzntOS,0.0,10.0,0.126,-8.548,1.0,0.482,120.045,4.0,https://api.spotify.com/v1/tracks/34dVqrAW35mn6dpgfzntOS,audio_features,spotify:track:34dVqrAW35mn6dpgfzntOS,0.655
25,0.953,https://api.spotify.com/v1/audio-analysis/70uEe3Key95fjdHfcf5ELt,0.524,223262.0,0.239,70uEe3Key95fjdHfcf5ELt,0.915,9.0,0.099,-18.228,1.0,0.0512,82.02,4.0,https://api.spotify.com/v1/tracks/70uEe3Key95fjdHfcf5ELt,audio_features,spotify:track:70uEe3Key95fjdHfcf5ELt,0.248
26,0.177,https://api.spotify.com/v1/audio-analysis/7lGKEWMXVWWTt3X71Bv44I,0.598,193546.0,0.673,7lGKEWMXVWWTt3X71Bv44I,0.000316,9.0,0.203,-6.134,0.0,0.0469,117.02,4.0,https://api.spotify.com/v1/tracks/7lGKEWMXVWWTt3X71Bv44I,audio_features,spotify:track:7lGKEWMXVWWTt3X71Bv44I,0.242
27,0.11,https://api.spotify.com/v1/audio-analysis/3kfxarilcBr81mb2hmZLeh,0.671,191600.0,0.314,3kfxarilcBr81mb2hmZLeh,0.0,5.0,0.0825,-8.091,0.0,0.244,110.898,4.0,https://api.spotify.com/v1/tracks/3kfxarilcBr81mb2hmZLeh,audio_features,spotify:track:3kfxarilcBr81mb2hmZLeh,0.295
28,0.0121,https://api.spotify.com/v1/audio-analysis/52wTKeWYVIAtSESw0haRB1,0.524,228027.0,0.505,52wTKeWYVIAtSESw0haRB1,1.28e-06,11.0,0.225,-8.256,0.0,0.275,189.978,4.0,https://api.spotify.com/v1/tracks/52wTKeWYVIAtSESw0haRB1,audio_features,spotify:track:52wTKeWYVIAtSESw0haRB1,0.3
29,0.0272,https://api.spotify.com/v1/audio-analysis/0wI7QkCcs8FUQE1OkXUIqd,0.318,230240.0,0.751,0wI7QkCcs8FUQE1OkXUIqd,0.0,0.0,0.11,-5.732,1.0,0.289,193.62,4.0,https://api.spotify.com/v1/tracks/0wI7QkCcs8FUQE1OkXUIqd,audio_features,spotify:track:0wI7QkCcs8FUQE1OkXUIqd,0.431
30,0.255,https://api.spotify.com/v1/audio-analysis/4dASQiO1Eoo3RJvt74FtXB,0.502,243491.0,0.786,4dASQiO1Eoo3RJvt74FtXB,0.0,9.0,0.65,-4.378,0.0,0.317,169.021,4.0,https://api.spotify.com/v1/tracks/4dASQiO1Eoo3RJvt74FtXB,audio_features,spotify:track:4dASQiO1Eoo3RJvt74FtXB,0.734
